date,trip_number,tag_id,latitude,longitude,signal_strength,gain,notes
6/29/2021,1,23,41.53293,-118.99077,228,20,confirmed alive; near bend in creek; in pool
7/6/2021,2,23,41.53291,-118.99072,220,20,"Same location, in willow thicket, under undercut"
7/18/2021,3,23,41.53292,-118.99075,210,20,"Observed alive, same location, @ bend in creek"
7/28/2021,4,23,41.53292,-118.99077,221,20,"Seen alive, bend in creek, willow thickets, Same location"
na,5,23,na,na,na,na,
na,6,23,na,na,na,na,
na,7,23,na,na,na,na,
na,8,23,na,na,na,na,
6/23/2021,0,24,41.51197,-118.98540,na,na,Tagging event
6/30/2021,1,24,41.51323,-118.98619,221,20,moving DS; DS of gravel road ford; found in willows
7/7/2021,2,24,41.51319,-118.98618,213,20,"Same location, below creek ford, dense willows"
7/20/2021,3,24,41.51332,-118.98614,234,20,"Observed alive, narrow, incised part of creek, moved DS slightly"
7/28/2021,4,24,41.51328,-118.98610,233,20,"Same location, Seen alive"
na,5,24,na,na,na,na,
na,6,24,na,na,na,na,
na,7,24,na,na,na,na,
na,8,24,na,na,na,na,
6/23/2021,0,25,41.54155,-119.00477,na,na,Tagging event
6/28/2021,1,25,41.54094,-119.00442,222,20,moved US into willow thicket
7/6/2021,2,25,41.54097,-119.00445,212,25,"Same location, in willow thicket"
7/18/2021,3,25,41.54096,-119.00443,206,25,"Same location, deep willow thicket, in riffle"
7/27/2021,4,25,41.54094,-119.00444,195,30,"Dense willow thicket, Same location"
8/12/2021,5,25,41.54094,-119.00442,200,25,under willows
8/17/2021,6,25,41.54091,-119.00429,199,25,"moved US, bend in creek, dense willows"
9/5/2021,7,25,41.54100,-119.00455,201,30,Moved DS 10m
9/18/2021,8,25,41.54094,-119.00441,220,20,Moved 5m US
6/25/2021,0,26,41.53737,-119.00085,na,na,Tagging event
6/29/2021,1,26,41.53738,-119.00085,238,20,same location as when tagged; undercut bank/pool
na,2,26,na,na,na,na,
na,3,26,na,na,na,na,
na,4,26,na,na,na,na,
na,5,26,na,na,na,na,
na,6,26,na,na,na,na,
na,7,26,na,na,na,na,
na,8,26,na,na,na,na,
6/24/2021,0,27,41.53241,-118.98883,na,na,Tagging event
6/29/2021,1,27,41.53306,-118.99123,205,30,fish observed; moved DS from MG4+ to below confluence
