date,trip_number,tag_id,latitude,longitude,signal_strength,gain,notes
6/25/2021,0,26,41.53737,-119.00085,na,na,Tagging event
6/25/2021,0,34,41.53731,-119.00082,na,na,Tagging event
6/24/2021,0,16,41.51601,-118.95726,na,na,Tagging event
6/24/2021,0,17,41.51586,-118.95721,na,na,Tagging event
6/24/2021,0,19,41.51348,-118.95605,na,na,Tagging event
6/24/2021,0,27,41.53241,-118.98883,na,na,Tagging event
6/24/2021,0,28,41.53256,-118.98864,na,na,Tagging event
6/24/2021,0,29,41.51708,-118.95756,na,na,Tagging event
6/24/2021,0,32,41.51342,-118.95597,na,na,Tagging event
6/24/2021,0,35,41.51746,-118.95763,na,na,Tagging event
6/23/2021,0,13,41.50296,-118.97895,na,na,Tagging event
6/23/2021,0,15,41.50293,-118.97897,na,na,Tagging event
6/23/2021,0,18,41.50279,-118.97889,na,na,Tagging event
6/23/2021,0,20,41.54155,-119.00477,na,na,Tagging event
6/23/2021,0,21,41.51203,-118.98547,na,na,Tagging event
6/23/2021,0,24,41.51197,-118.9854,na,na,Tagging event
6/23/2021,0,25,41.54155,-119.00477,na,na,Tagging event
6/23/2021,0,30,41.54308,-119.00681,na,na,Tagging event
6/23/2021,0,33,41.54324,-119.00706,na,na,Tagging event
6/23/2021,0,36,41.54308,-119.00681,na,na,Tagging event
6/23/2021,0,37,41.54324,-119.00706,na,na,Tagging event
6/23/2021,0,40,41.54155,-119.00477,na,na,Tagging event
6/22/2021,0,11,41.53177,-118.99426,na,na,Tagging event
6/22/2021,0,12,41.52709,-118.98565,na,na,Tagging event
6/22/2021,0,22,41.53192,-118.99353,na,na,Tagging event
6/22/2021,0,23,41.53289,-118.99067,na,na,Tagging event
6/22/2021,0,31,41.52522,-118.98525,na,na,Tagging event
6/22/2021,0,38,41.53277,-118.99035,na,na,Tagging event
6/22/2021,0,39,41.53197,-118.99322,na,na,Tagging event
6/30/2021,1,13,41.5029,-118.97894,244,20,in plunge pool below live log
6/30/2021,1,15,41.50304,-118.97906,235,20,in riffle with overhanging riparian vegetation; live fish observed
6/30/2021,1,18,41.50283,-118.97885,240,20,Same location as when tagged; elevation 2143m
6/30/2021,1,21,41.51205,-118.98547,212,20,fish observed alive; in shallow pool; live in channel tree
6/30/2021,1,24,41.51323,-118.98619,221,20,moving DS; DS of gravel road ford; found in willows
6/29/2021,1,11,41.53172,-118.99395,231,30,in small plunge pool
6/29/2021,1,12,41.52695,-118.98557,243,20,found in willow roots; fish observed
6/29/2021,1,17,41.51582,-118.95726,244,20,in pool @ bend in creek; undercut bank
6/29/2021,1,19,41.51349,-118.95596,244,20,Same location as when tagged; under SWD in pool
6/29/2021,1,22,41.53192,-118.99349,230,20,same location as when tagged; near willow thicket
6/29/2021,1,23,41.53293,-118.99077,228,20,confirmed alive; near bend in creek; in pool
6/29/2021,1,26,41.53738,-119.00085,238,20,same location as when tagged; undercut bank/pool
6/29/2021,1,27,41.53306,-118.99123,205,30,fish observed; moved DS from MG4+ to below confluence
6/29/2021,1,28,41.53251,-118.98874,210,27,"located in head of pool, riffles getting low/near impassable"
6/29/2021,1,29,41.51769,-118.98759,225,20,in small pool below SWD
6/29/2021,1,31,41.52525,-118.98528,244,20,Same loation as when tagged; observed in pool
6/29/2021,1,32,41.50941,-118.95538,250,20,confluence of 2 creeks at upper MG; very small pool; @ DS end of efishing site: SLPT 8-15-4
6/29/2021,1,34,41.53733,-119.00082,223,20,same location as when tagged
6/29/2021,1,35,41.51748,-118.95763,223,20,In deeper riffle with undercut bank
6/29/2021,1,38,41.53139,-118.98865,223,20,Moved US 200+meters; in willow thicket
6/29/2021,1,39,41.53205,-118.99329,206,30,"in sinuous pool, fish observed alive"
6/28/2021,1,20,41.54123,-119.00474,232,20,"near RCT, under willow, same location as when tagged"
6/28/2021,1,25,41.54094,-119.00442,222,20,moved US into willow thicket
6/28/2021,1,30,41.5431,-119.00681,240,20,Same location as when tagged
6/28/2021,1,33,41.54327,-119.0071,241,20,in undercut bank DS of fallen tree
6/28/2021,1,36,41.5431,-119.00681,215,20,Same location as when tagged
6/28/2021,1,37,41.54319,-119.00708,211,27,Moved US one pool; looked like it was holding on a redd pot
6/28/2021,1,40,41.54123,-119.00474,226,20,Same location as when tagged
7/7/2021,2,13,41.5055,-118.98013,217,20,"In long riffle in debris pile, inconsistent reading"
7/7/2021,2,15,41.50314,-118.9791,236,20,"undercut bank, shallow pool, LWD"
7/7/2021,2,17,41.51582,-118.95726,227,20,"Same location, bend in creek, pool, willows"
7/7/2021,2,18,41.50288,-118.97883,243,20,moved US one pool
